#TYPE Selected.System.ServiceProcess.ServiceController
"Status","Name","DisplayName","BinaryPathName"
"Stopped","DeviceInstall","Device Install Service",
"Stopped","DevicePickerUserSvc_2f4b01f","DevicePicker_2f4b01f",
"Stopped","DevicesFlowUserSvc_2f4b01f","DevicesFlow_2f4b01f",
"Stopped","DevQueryBroker","DevQuery Background Discovery Broker",
"Running","Dhcp","DHCP Client",
"Stopped","diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service",
"Stopped","diagsvc","Diagnostic Execution Service",
"Running","DiagTrack","Connected User Experiences and Telemetry",
"Stopped","DisplayEnhancementService","Display Enhancement Service",
"Stopped","DmEnrollmentSvc","Device Management Enrollment Service",
"Stopped","dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service",
"Running","Dnscache","DNS Client",
"Running","DoSvc","Delivery Optimization",
"Stopped","dot3svc","Wired AutoConfig",
"Running","DPS","Diagnostic Policy Service",
"Stopped","DsmSvc","Device Setup Manager",
"Running","DsSvc","Data Sharing Service",
"Running","DusmSvc","Data Usage",
"Stopped","Eaphost","Extensible Authentication Protocol",
"Stopped","EFS","Encrypting File System (EFS)",
"Stopped","embeddedmode","Embedded Mode",
"Stopped","EntAppSvc","Enterprise App Management Service",
"Running","EventLog","Windows Event Log",
"Running","EventSystem","COM+ Event System",
"Stopped","Fax","Fax",
"Stopped","fdPHost","Function Discovery Provider Host",
"Stopped","FDResPub","Function Discovery Resource Publication",
"Stopped","fhsvc","File History Service",
"Running","FontCache","Windows Font Cache Service",
"Stopped","FrameServer","Windows Camera Frame Server",
"Stopped","GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)",
"Stopped","gpsvc","Group Policy Client",
"Stopped","GraphicsPerfSvc","GraphicsPerfSvc",
"Stopped","gupdate","Google Update Service (gupdate)",
"Stopped","gupdatem","Google Update Service (gupdatem)",
"Running","hidserv","Human Interface Device Service",
"Stopped","HvHost","HV Host Service",
"Stopped","icssvc","Windows Mobile Hotspot Service",
"Running","igccservice","Intel(R) Graphics Command Center Service",
"Running","igfxCUIService2.0.0.0","Intel(R) HD Graphics Control Panel Service",
"Running","IKEEXT","IKE and AuthIP IPsec Keying Modules",
"Stopped","InstallService","Microsoft Store Install Service",
"Stopped","Intel(R) Capability Licensing Service TCP IP Interface","Intel(R) Capability Licensing Service TCP IP Interface",
"Stopped","Intel(R) TPM Provisioning Service","Intel(R) TPM Provisioning Service",
"Running","iphlpsvc","IP Helper",
"Stopped","IpxlatCfgSvc","IP Translation Configuration Service",
"Stopped","irmon","Infrared monitor service",
"Running","jhi_service","Intel(R) Dynamic Application Loader Host Interface Service",
"Running","KeyIso","CNG Key Isolation",
"Stopped","KtmRm","KtmRm for Distributed Transaction Coordinator",
"Running","LanmanServer","Server",
"Running","LanmanWorkstation","Workstation",
"Running","lfsvc","Geolocation Service",
"Running","LicenseManager","Windows License Manager Service",
"Stopped","lltdsvc","Link-Layer Topology Discovery Mapper",
"Running","lmhosts","TCP/IP NetBIOS Helper",
"Running","LSM","Local Session Manager",
"Stopped","LxpSvc","Language Experience Service",
"Stopped","MapsBroker","Downloaded Maps Manager",
"Stopped","MessagingService_2f4b01f","MessagingService_2f4b01f",
"Running","mpssvc","Windows Defender Firewall",
"Stopped","MSDTC","Distributed Transaction Coordinator",
"Stopped","MSiSCSI","Microsoft iSCSI Initiator Service",
"Stopped","msiserver","Windows Installer",
"Stopped","NaturalAuthentication","Natural Authentication",
"Stopped","NcaSvc","Network Connectivity Assistant",
"Running","NcbService","Network Connection Broker",
"Stopped","NcdAutoSetup","Network Connected Devices Auto-Setup",
"Running","Netlogon","Netlogon",
"Stopped","Netman","Network Connections",
"Running","netprofm","Network List Service",
"Stopped","NetSetupSvc","Network Setup Service",
"Stopped","NetTcpPortSharing","Net.Tcp Port Sharing Service",
"Stopped","NgcCtnrSvc","Microsoft Passport Container",
"Stopped","NgcSvc","Microsoft Passport",
"Running","NlaSvc","Network Location Awareness",
"Running","nsi","Network Store Interface Service",
"Running","OneSyncSvc_2f4b01f","Sync Host_2f4b01f",
"Stopped","p2pimsvc","Peer Networking Identity Manager",
"Stopped","p2psvc","Peer Networking Grouping",
"Running","PcaSvc","Program Compatibility Assistant Service",
"Stopped","PeerDistSvc","BranchCache",
"Stopped","perceptionsimulation","Windows Perception Simulation Service",
"Stopped","PerfHost","Performance Counter DLL Host",
"Stopped","PhoneSvc","Phone Service",
"Stopped","PimIndexMaintenanceSvc_2f4b01f","Contact Data_2f4b01f",
"Stopped","pla","Performance Logs & Alerts",
"Running","PlugPlay","Plug and Play",
"Stopped","PNRPAutoReg","PNRP Machine Name Publication Service",
"Stopped","PNRPsvc","Peer Name Resolution Protocol",
"Running","PolicyAgent","IPsec Policy Agent",
"Running","Power","Power",
"Stopped","PrintNotify","Printer Extensions and Notifications",
"Stopped","PrintWorkflowUserSvc_2f4b01f","PrintWorkflow_2f4b01f",
"Running","ProfSvc","User Profile Service",
"Stopped","PushToInstall","Windows PushToInstall Service",
"Stopped","QWAVE","Quality Windows Audio Video Experience",
"Stopped","RasAuto","Remote Access Auto Connection Manager",
"Running","RasMan","Remote Access Connection Manager",
"Stopped","RemoteAccess","Routing and Remote Access",
"Stopped","RemoteRegistry","Remote Registry",
"Stopped","RetailDemo","Retail Demo Service",
"Stopped","RmSvc","Radio Management Service",
"Running","RpcEptMapper","RPC Endpoint Mapper",
"Stopped","RpcLocator","Remote Procedure Call (RPC) Locator",
"Running","RpcSs","Remote Procedure Call (RPC)",
"Running","SamSs","Security Accounts Manager",
"Stopped","SCardSvr","Smart Card",
"Stopped","ScDeviceEnum","Smart Card Device Enumeration Service",
"Running","Schedule","Task Scheduler",
"Stopped","SCPolicySvc","Smart Card Removal Policy",
"Stopped","SDRSVC","Windows Backup",
"Stopped","seclogon","Secondary Logon",
"Running","SecurityHealthService","Windows Security Service",
"Stopped","SEMgrSvc","Payments and NFC/SE Manager",
"Running","SENS","System Event Notification Service",
"Stopped","Sense","Windows Defender Advanced Threat Protection Service",
"Stopped","SensorDataService","Sensor Data Service",
"Stopped","SensorService","Sensor Service",
"Stopped","SensrSvc","Sensor Monitoring Service",
"Running","SessionEnv","Remote Desktop Configuration",
"Running","SgrmBroker","System Guard Runtime Monitor Broker",
"Stopped","SharedAccess","Internet Connection Sharing (ICS)",
"Stopped","SharedRealitySvc","Spatial Data Service",
"Running","ShellHWDetection","Shell Hardware Detection",
"Stopped","shpamsvc","Shared PC Account Manager",
"Stopped","smphost","Microsoft Storage Spaces SMP",
"Stopped","SmsRouter","Microsoft Windows SMS Router Service.",
"Stopped","SNMPTRAP","SNMP Trap",
"Stopped","spectrum","Windows Perception Service",
"Running","Spooler","Print Spooler",
"Stopped","sppsvc","Software Protection",
"Running","SSDPSRV","SSDP Discovery",
"Stopped","ssh-agent","OpenSSH Authentication Agent",
"Running","sshd","OpenSSH SSH Server",
"Running","SstpSvc","Secure Socket Tunneling Protocol Service",
"Running","StateRepository","State Repository Service",
"Stopped","stisvc","Windows Image Acquisition (WIA)",
"Running","StorSvc","Storage Service",
"Stopped","svsvc","Spot Verifier",
"Stopped","swprv","Microsoft Software Shadow Copy Provider",
"Running","SysMain","SysMain",
"Running","SystemEventsBroker","System Events Broker",
"Running","TabletInputService","Touch Keyboard and Handwriting Panel Service",
"Stopped","TapiSrv","Telephony",
"Running","TermService","Remote Desktop Services",
"Running","Themes","Themes",
"Stopped","TieringEngineService","Storage Tiers Management",
"Running","TimeBrokerSvc","Time Broker",
"Running","TokenBroker","Web Account Manager",
"Running","TrkWks","Distributed Link Tracking Client",
"Stopped","TrustedInstaller","Windows Modules Installer",
"Stopped","tzautoupdate","Auto Time Zone Updater",
"Stopped","UevAgentService","User Experience Virtualization Service",
"Running","UmRdpService","Remote Desktop Services UserMode Port Redirector",
"Stopped","UnistoreSvc_2f4b01f","User Data Storage_2f4b01f",
"Stopped","upnphost","UPnP Device Host",
"Stopped","UserDataSvc_2f4b01f","User Data Access_2f4b01f",
"Running","UserManager","User Manager",
"Running","UsoSvc","Update Orchestrator Service",
"Stopped","VacSvc","Volumetric Audio Compositor Service",
"Running","VaultSvc","Credential Manager",
"Stopped","vds","Virtual Disk",
"Running","VMAuthdService","VMware Authorization Service",
"Stopped","vmicguestinterface","Hyper-V Guest Service Interface",
"Stopped","vmicheartbeat","Hyper-V Heartbeat Service",
"Stopped","vmickvpexchange","Hyper-V Data Exchange Service",
"Stopped","vmicrdv","Hyper-V Remote Desktop Virtualization Service",
"Stopped","vmicshutdown","Hyper-V Guest Shutdown Service",
"Stopped","vmictimesync","Hyper-V Time Synchronization Service",
"Stopped","vmicvmsession","Hyper-V PowerShell Direct Service",
"Stopped","vmicvss","Hyper-V Volume Shadow Copy Requestor",
"Running","VMnetDHCP","VMware DHCP Service",
"Running","VMUSBArbService","VMware USB Arbitration Service",
"Running","VMware NAT Service","VMware NAT Service",
"Stopped","VSS","Volume Shadow Copy",
"Running","W32Time","Windows Time",
"Stopped","WaaSMedicSvc","Windows Update Medic Service",
"Stopped","WalletService","WalletService",
"Stopped","WarpJITSvc","WarpJITSvc",
"Stopped","wbengine","Block Level Backup Engine Service",
"Stopped","WbioSrvc","Windows Biometric Service",
"Running","Wcmsvc","Windows Connection Manager",
"Running","wcncsvc","Windows Connect Now - Config Registrar",
"Running","WdiServiceHost","Diagnostic Service Host",
"Stopped","WdiSystemHost","Diagnostic System Host",
"Running","WdNisSvc","Windows Defender Antivirus Network Inspection Service",
"Stopped","WebClient","WebClient",
"Stopped","Wecsvc","Windows Event Collector",
"Stopped","WEPHOSTSVC","Windows Encryption Provider Host Service",
"Stopped","wercplsupport","Problem Reports and Solutions Control Panel Support",
"Stopped","WerSvc","Windows Error Reporting Service",
"Stopped","WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service",
"Stopped","WiaRpc","Still Image Acquisition Events",
"Running","WinDefend","Windows Defender Antivirus Service",
"Running","WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service",
"Running","Winmgmt","Windows Management Instrumentation",
"Stopped","WinRM","Windows Remote Management (WS-Management)",
"Stopped","wisvc","Windows Insider Service",
"Stopped","WlanSvc","WLAN AutoConfig",
"Stopped","wlidsvc","Microsoft Account Sign-in Assistant",
"Stopped","wlpasvc","Local Profile Assistant Service",
"Stopped","WManSvc","Windows Management Service",
"Stopped","wmiApSrv","WMI Performance Adapter",
"Running","WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration",
"Stopped","WMPNetworkSvc","Windows Media Player Network Sharing Service",
"Stopped","workfolderssvc","Work Folders",
"Stopped","WpcMonSvc","Parental Controls",
"Stopped","WPDBusEnum","Portable Device Enumerator Service",
"Running","WpnService","Windows Push Notifications System Service",
"Running","WpnUserService_2f4b01f","Windows Push Notifications User Service_2f4b01f",
"Running","wscsvc","Security Center",
"Running","WSearch","Windows Search",
"Stopped","wuauserv","Windows Update",
"Stopped","WwanSvc","WWAN AutoConfig",
"Stopped","XblAuthManager","Xbox Live Auth Manager",
"Stopped","XblGameSave","Xbox Live Game Save",
"Stopped","XboxGipSvc","Xbox Accessory Management Service",
"Stopped","XboxNetApiSvc","Xbox Live Networking Service",
